region,category,ds,actual,yhat,yhat_lower,yhat_upper,is_forecast
All,All,2015-01-03,16.448,1436.9624075329557,0.0,4874.3970071991525,False
All,All,2015-01-04,288.06,1117.6910328565455,0.0,4559.531564403156,False
All,All,2015-01-05,19.536,960.3252018451157,0.0,4292.660920629418,False
All,All,2015-01-06,4407.1,1183.1845977697033,0.0,4568.222821299985,False
All,All,2015-01-07,87.15799999999999,608.57088468612,0.0,4005.6259768103537,False
All,All,2015-01-08,0.0,0.0,0.0,3120.0556303186722,False
All,All,2015-01-09,40.544,100.83787698316405,0.0,3395.0804153289137,False
All,All,2015-01-10,54.83,950.7509887560487,0.0,3989.6041805513796,False
All,All,2015-01-11,9.94,678.609646374252,0.0,4067.611498363011,False
All,All,2015-01-12,0.0,573.139266287612,0.0,3624.916818889173,False
All,All,2015-01-13,3553.795,851.6900106590667,0.0,4160.073149129655,False
All,All,2015-01-14,61.96,335.49093428249444,0.0,3635.2943330428393,False
All,All,2015-01-15,149.95,0.0,0.0,2661.939055748557,False
All,All,2015-01-16,299.964,0.0,0.0,3559.141314244844,False
All,All,2015-01-17,0.0,857.4998962333075,0.0,4114.940737028657,False
All,All,2015-01-18,64.864,642.760265567045,0.0,3784.987727874023,False
All,All,2015-01-19,378.594,485.7739564963722,0.0,3943.4141181345763,False
All,All,2015-01-20,2673.87,919.6766537200206,0.0,4137.3271186664615,False
All,All,2015-01-21,25.248,447.7463397054147,0.0,3624.880110650766,False
All,All,2015-01-22,0.0,0.0,0.0,3057.414010642064,False
All,All,2015-01-23,46.019999999999996,129.0170193407141,0.0,3427.9061952394686,False
All,All,2015-01-24,0.0,1061.4217113217073,0.0,4098.261197135627,False
All,All,2015-01-25,0.0,861.4876046749396,0.0,4089.0682083025595,False
All,All,2015-01-26,1097.25,816.5037777703039,0.0,4213.491147904629,False
All,All,2015-01-27,426.67,1142.6475544826585,0.0,4252.085164301382,False
All,All,2015-01-28,3.928,660.2703509766508,0.0,4150.0187167845625,False
All,All,2015-01-29,0.0,0.0,0.0,3133.1094361693886,False
All,All,2015-01-30,240.5,297.3142405600976,0.0,3774.205379883123,False
All,All,2015-01-31,290.666,1197.240841942058,0.0,4625.520141577979,False
All,All,2015-02-01,468.9,959.079232172181,0.0,4246.089585552478,False
All,All,2015-02-02,211.64600000000002,871.1800484651692,0.0,4075.8735515728317,False
All,All,2015-02-03,97.11200000000001,1150.907126378229,0.0,4382.176840448174,False
All,All,2015-02-04,134.38400000000001,619.8960226656827,0.0,3817.0839554342874,False
All,All,2015-02-05,0.0,0.0,0.0,3054.6333581058084,False
All,All,2015-02-06,330.512,158.46341616714926,0.0,3517.3431968076356,False
All,All,2015-02-07,180.32,1011.3251370273613,0.0,4521.989304001401,False
All,All,2015-02-08,14.56,729.370346673194,0.0,4256.406286162229,False
All,All,2015-02-09,0.0,602.2452934921005,0.0,4034.2900923160546,False
All,All,2015-02-10,0.0,848.5139221378035,0.0,4231.632420623946,False
All,All,2015-02-11,2043.4,290.88673436415627,0.0,3544.3539860540186,False
All,All,2015-02-12,129.568,0.0,0.0,2904.5782023147494,False
All,All,2015-02-13,0.0,0.0,0.0,3152.962352915985,False
All,All,2015-02-14,576.726,651.8545712514253,0.0,4205.321588158846,False
All,All,2015-02-15,21.36,378.03614239205115,0.0,3916.690465331748,False
All,All,2015-02-16,9.04,545.3453786424412,0.0,3958.9880434754423,False
All,All,2015-02-17,54.208,541.9508214742096,0.0,3916.125926500025,False
All,All,2015-02-18,37.784,20.535248227434522,0.0,3268.6302227475976,False
All,All,2015-02-19,0.0,0.0,0.0,2419.428789202852,False
All,All,2015-02-20,95.59,0.0,0.0,3210.5457322607467,False
All,All,2015-02-21,8.85,538.3797714289186,0.0,3774.4173325160828,False
All,All,2015-02-22,19.44,329.83556717466126,0.0,3829.519756365378,False
All,All,2015-02-23,11.364,290.18780225465935,0.0,3613.975750400743,False
All,All,2015-02-24,55.672,636.5359292782255,0.0,3921.4925338333155,False
All,All,2015-02-25,0.0,189.81805156283167,0.0,3455.144875850545,False
All,All,2015-02-26,0.0,0.0,0.0,2917.4911362185553,False
All,All,2015-02-27,19.456,0.0,0.0,3350.267318480973,False
All,All,2015-02-28,0.0,927.0159431306856,0.0,4178.827870429578,False
All,All,2015-03-01,2203.151,785.0409606196318,0.0,4118.878122467213,False
All,All,2015-03-02,202.384,806.3485073912417,0.0,4168.876810616659,False
All,All,2015-03-03,1345.8919999999998,1206.788535040125,0.0,4594.981499350723,False
All,All,2015-03-04,370.452,806.1929968936495,0.0,3995.576907284844,False
All,All,2015-03-05,705.562,87.19545251897716,0.0,3318.954476793549,False
All,All,2015-03-06,0.0,626.2630803928146,0.0,3603.6772418803075,False
All,All,2015-03-07,1561.062,1625.5156285663986,0.0,4772.5700484817535,False
All,All,2015-03-08,0.0,1490.3604405488559,0.0,4890.506584162955,False
